Soil Type,Precision,Recall,F1-Score,Correct,Total,Accuracy (%)
Alluvial_Soil,0.5,0.3,0.375,3,10,30.0
Arid_Soil,0.7758620689655172,0.7894736842105263,0.782608695652174,45,57,78.94736842105263
Black_Soil,0.8166666666666667,0.9607843137254902,0.8828828828828829,49,51,96.07843137254902
Laterite_Soil,0.6938775510204082,0.7727272727272727,0.7311827956989247,34,44,77.27272727272727
Mountain_Soil,0.8484848484848485,0.7,0.7671232876712328,28,40,70.0
Red_Soil,0.8,0.7272727272727273,0.7619047619047619,16,22,72.72727272727273
Yellow_Soil,0.8333333333333334,0.7142857142857143,0.7692307692307693,10,14,71.42857142857143
